"","cy","Dates","Year","GDP","NationalPrice","Month","ExchangeRate","Country","RealInterest","CPI","MaizePrice","Electionlag","Election","MaizeYield","ForexRev","WorldPrice","GasPrice","Wedge","UreaMaizeRatio","LagMaize","CorruptionEstimate"
"574","Nigeria 2020",2020-01-01,"2020",429898.765802,157538.461538462,1,359,"Nigeria",5.37128021114731,0.742755879112984,238.072423398329,"1","0",20506,36729.565817615,215.4,48.63,6.10223154826006,1.84324497517739,266.078102189781,-1.1208575963974
"575","Nigeria 2020",2020-02-01,"2020",429898.765802,216000,2,364,"Nigeria",5.37128021114731,0.748623018343791,232.653846153846,"1","0",20506,36729.565817615,214.38,43.79,6.63075529068187,2.55059868219068,340.302633616274,-1.1208575963974
"576","Nigeria 2020",2020-03-01,"2020",429898.765802,167384.615384615,3,364,"Nigeria",5.37128021114731,0.754897265194693,241.01978021978,"1","0",20506,36729.565817615,231.13,41.61,6.12564108317947,1.90792574801912,268.169243591393,-1.1208575963974
"577","Nigeria 2020",2020-04-01,"2020",429898.765802,245000,4,389,"Nigeria",5.37128021114731,0.762608362469467,261.39588688946,"1","0",20506,36729.565817615,235,37.97,6.6715788793829,2.40944897377143,176.731590159507,-1.1208575963974
"578","Nigeria 2020",2020-05-01,"2020",429898.765802,216500,5,387,"Nigeria",5.37128021114731,0.771516835097466,267.822222222222,"1","0",20506,36729.565817615,201.9,35.6,6.57237267509483,2.08881667811576,127.503309129167,-1.1208575963974
"579","Nigeria 2020",2020-06-01,"2020",429898.765802,226000,6,387,"Nigeria",5.37128021114731,0.780856362852627,342.147286821705,"1","0",20506,36729.565817615,202,33.99,6.63851538635355,1.70680683629004,225.891615273437,-1.1208575963974
"580","Nigeria 2020",2020-07-01,"2020",429898.765802,214153.846153846,7,373,"Nigeria",5.37128021114731,0.790602998227884,381.44235924933,"1","0",20506,36729.565817615,214.4,34.91,6.5785278745714,1.50517891841217,262.163895911969,-1.1208575963974
"581","Nigeria 2020",2020-08-01,"2020",429898.765802,220500,8,386.959991,"Nigeria",5.37128021114731,0.801211743857464,458.953907718072,"1","0",20506,36729.565817615,249.5,45.85,6.46248994275057,1.24157642480045,282.582897033159,-1.1208575963974
"582","Nigeria 2020",2020-09-01,"2020",429898.765802,216769.230769231,9,382.5,"Nigeria",5.37128021114731,0.813065759854399,399.087581699346,"1","0",20506,36729.565817615,250.5,46.07,6.4495781878298,1.4200315148229,268.847227347079,-1.1208575963974
"583","Nigeria 2020",2020-10-01,"2020",429898.765802,206307.692307692,10,386.959991,"Nigeria",5.37128021114731,0.825542411035011,319.536910470933,"1","0",20506,36729.565817615,245,54.72,6.35663112817906,1.66850812231247,257.697580954613,-1.1208575963974
"584","Nigeria 2020",2020-11-01,"2020",429898.765802,199230.769230769,11,377,"Nigeria",5.37128021114731,0.838785382441688,347.062068965517,"1","0",20506,36729.565817615,245,59.06,6.34023393716151,1.52267742895857,210.4,-1.1208575963974
"585","Nigeria 2020",2020-12-01,"2020",429898.765802,212307.692307692,12,375,"Nigeria",5.37128021114731,0.852315723933139,381.8,"1","0",20506,36729.565817615,245,63.86,6.46506988426928,1.48285449490269,266.469743589744,-1.1208575963974
"586","Nigeria 2021",2021-01-01,"2021",430923.01215,228461.538461538,1,380.700012,"Nigeria",1.22771853011479,0.86505579769146,448.086142954994,"0","0",20538,40476.3631670316,265,73.02,6.50760553284152,1.33927170314596,361.306206896552,-1.1032567024231
"587","Nigeria 2021",2021-02-01,"2021",430923.01215,237285.714285714,2,380.579987,"Nigeria",1.22771853011479,0.878394559126395,483.714347281219,"0","0",20538,40476.3631670316,335,97.48,6.3577914643448,1.28895179739323,256.419634858043,-1.1032567024231
"588","Nigeria 2021",2021-03-01,"2021",430923.01215,232923.076923077,3,380,"Nigeria",1.22771853011479,0.892068585660233,489.9,"0","0",20538,40476.3631670316,352.88,65.62,6.25412271777676,1.25118486545631,257.283870967742,-1.1032567024231
"589","Nigeria 2021",2021-04-01,"2021",430923.01215,235692.307692308,4,380.5,"Nigeria",1.22771853011479,0.900761530724652,494.333771353482,"0","0",20538,40476.3631670316,328.1,71.28,6.3675994885953,1.25305595974517,392.72,-1.1032567024231
"590","Nigeria 2021",2021-05-01,"2021",430923.01215,236461.538461538,5,412.5,"Nigeria",1.22771853011479,0.909861583409167,433.303272727273,"0","0",20538,40476.3631670316,331.63,83.47,6.18047670499966,1.32295352774983,405.328,-1.1032567024231
"591","Nigeria 2021",2021-06-01,"2021",430923.01215,240923.076923077,6,411,"Nigeria",1.22771853011479,0.919488481249102,546.627737226277,"0","0",20538,40476.3631670316,393.25,94.73,5.95552038057685,1.07237063758803,505.841924398625,-1.1032567024231
"592","Nigeria 2021",2021-07-01,"2021",430923.01215,243615.384615385,7,411.070007,"Nigeria",1.22771853011479,0.927989846257005,563.991524684505,"0","0",20538,40476.3631670316,441.5,112.68,5.71134626570774,1.05079099644317,493.961637771421,-1.1032567024231
"593","Nigeria 2021",2021-08-01,"2021",430923.01215,243307.692307692,8,411,"Nigeria",1.22771853011479,0.937497006561617,519.184428223844,"0","0",20538,40476.3631670316,446.88,129.82,5.67064781376205,1.1402297272706,489.115193273603,-1.1032567024231
"594","Nigeria 2021",2021-09-01,"2021",430923.01215,237230.769230769,9,409.26001,"Nigeria",1.22771853011479,0.948273384740649,469.823572549881,"0","0",20538,40476.3631670316,418.75,178.4,5.77398855165532,1.23377766398361,257.701428712934,-1.1032567024231
"595","Nigeria 2021",2021-10-01,"2021",430923.01215,235846.153846154,10,409.75,"Nigeria",1.22771853011479,0.957588964988745,379.899938987187,"0","0",20538,40476.3631670316,695,222.53,-5.47576544365816,1.51509760667948,145.96534137788,-1.1032567024231
"596","Nigeria 2021",2021-11-01,"2021",430923.01215,235230.769230769,11,409.390015,"Nigeria",1.22771853011479,0.967910340533551,429.05540820286,"0","0",20538,40476.3631670316,900.5,202.59,-6.47977559670492,1.33919402241245,491.612603648425,-1.1032567024231
"597","Nigeria 2021",2021-12-01,"2021",430923.01215,258461.538461538,12,410.75,"Nigeria",1.22771853011479,0.985487810718904,492.085209981741,"0","0",20538,40476.3631670316,890,236.49,-6.2567400185818,1.27872760514109,488.225538971808,-1.1032567024231
"598","Nigeria 2022",2022-01-01,"2022",475058.516256,280333.333333333,1,415.160004,"Nigeria",0.91923189527194,1,535.433080880306,"0","1",22326,35563.9499554969,846.38,196.91,-5.8356279083921,1.26111309050383,473.553876294788,-1.10103046894073
"599","Nigeria 2022",2022-02-01,"2022",475058.516256,318000,2,415.059998,"Nigeria",0.91923189527194,1.01630825231093,530.752182965124,"0","1",22326,35563.9499554969,744.17,197.52,3.78399236518653,1.44352547050759,430.263150429815,-1.10103046894073
