GDP,LocalUreaPrice,ExchangeRate,RealInterest,CPI,LocalMaizePrice,LocalMaizeYield,ForexRev,WorldUreaPrice,WorldGasPrice,Wedge,UreaMaizeRatio,CorruptionControl,ExchangeRateMovements,CPIMovements,CR4ratioAnnual,MonthlyUreaImportMT,NumFirmsImportingFert,FuelPrice,SharePrivateSectorSalesAnnual
54722.86533,602.915952,3.18,18.66666667,0.454745127,329.8113208,17291,3389262305,308.13,99,6.379399564,1.828063241,-0.194918543,-0.000314416,0.009910082,0.93,480,14,3.0454,1
54722.86533,461.6033755,2.37,18.66666667,0.40395351,344.5147679,17291,3389262305,330,123.48,5.572954283,1.339865279,-0.194918543,0.002111933,0.038568457,0.93,480,14,3.0454,1
54722.86533,461.0567515,2.555,18.66666667,0.408529331,343.8747554,17291,3389262305,353.13,137.61,5.374621412,1.340769406,-0.194918543,0.075162269,0.011263917,0.93,480,14,3.0454,1
54722.86533,472.5529843,2.6706,18.66666667,0.412281505,351.381712,17291,3389262305,327.5,122.17,5.670258147,1.344842285,-0.194918543,0.044250943,0.009142666,0.93,120.5,14,3.0454,1
54722.86533,477.3049645,2.82,18.66666667,0.419419786,336.8439716,17291,3389262305,260,118.66,6.074454208,1.416991262,-0.194918543,0.054433719,0.017165914,0.93,120.5,14,3.0454,1
54722.86533,478.2608696,2.99,18.66666667,0.422988927,336,17291,3389262305,265,114.95,6.055668833,1.423395445,-0.194918543,0.058536502,0.008473706,0.93,120,14,3.0454,1
54722.86533,446.6076696,3.39,18.66666667,0.429944175,296.4896755,17291,3389262305,288.75,112.86,5.754851015,1.506317779,-0.194918543,0.125556534,0.016309374,0.93,240,14,3.0454,1
50033.91174,585.8585859,3.33,23,0.470394436,350.8708709,19218,3754903074,305,91.06,6.331001639,1.669727055,-0.210319385,0.046091107,0.033834467,0.9,4491.436,17,2.915083333,0.391834912
50033.91174,567.012987,3.5,23,0.475976938,339.0857143,19218,3754903074,305,83.52,6.261544893,1.672181879,-0.210319385,0.049790665,0.011797835,0.9,4491.436,17,2.915083333,0.391834912
50033.91174,593.5828877,3.74,23,0.510295598,472.2994652,19218,3754903074,279.38,68.96,6.443188629,1.256793478,-0.210319385,-0.080988373,-0.001433692,0.9,110,17,2.915083333,0.391834912
50033.91174,586.7374005,3.77,23,0.524023062,358.7267905,19218,3754903074,250.63,63.61,6.510580147,1.635610766,-0.210319385,0.00798939,0.026545533,0.9,110,17,2.915083333,0.391834912
50033.91174,587.7102279,3.7717,23,0.529422531,378.0788504,19218,3754903074,263.63,57.83,6.474140663,1.554464703,-0.210319385,0.000450827,0.010251154,0.9,110,17,2.915083333,0.391834912
50033.91174,577.4278215,3.81,23,0.535188066,392.3884514,19218,3754903074,264,53.71,6.440718825,1.471571906,-0.210319385,0.010103361,0.010831362,0.9,2200,17,2.915083333,0.391834912
50033.91174,534.3276515,3.84,23,0.489704402,336.6145833,19218,3754903074,260,70.94,6.307473703,1.587357405,-0.210319385,0.026386755,0.018103455,0.9,1121.75,17,2.915083333,0.391834912
50033.91174,539.620807,3.74,23,0.480918825,319.7860963,19218,3754903074,295.5,82.16,6.190814589,1.687442992,-0.210319385,0.066322643,0.01032909,0.9,840,17,2.915083333,0.391834912
50033.91174,482.7086353,4.39,23,0.50334035,345.785877,19218,3754903074,288.75,71.55,5.960798742,1.395975566,-0.210319385,0.090537986,0.017608672,0.9,840,17,2.915083333,0.391834912
50033.91174,520.0634777,4.01,23,0.494554773,334.9625935,19218,3754903074,265,72.57,6.23466347,1.552601657,-0.210319385,0.043318875,0.009855961,0.9,32401.15,17,2.915083333,0.391834912
50033.91174,539.1107475,4.0555,23,0.511027729,450.0752065,19218,3754903074,274.63,70.37,6.270919215,1.197823696,-0.210319385,0.086350316,-0.007493345,0.9,110,17,2.915083333,0.391834912
50033.91174,578.6901271,3.72,23,0.514871419,457.5268817,19218,3754903074,283.75,72.62,6.379922431,1.264822134,-0.210319385,-0.165605559,0.022650618,0.9,110,17,2.915083333,0.391834912
56165.1729,555.5555556,3.96,25.91666667,0.559805985,394.9494949,19500,3904430461,233.88,54.22,6.466693043,1.406649616,-0.175110564,0.038614836,0.044972058,0.78,32401.15,28,3.459666667,0.453134954
56165.1729,575.9182518,3.8851,25.91666667,0.563832708,411.4437209,19500,3904430461,191.88,48.43,6.643891037,1.399749765,-0.175110564,-0.019095302,0.007167322,0.78,32401.15,28,3.459666667,0.453134954
56165.1729,566.5672995,3.8242,25.91666667,0.573350416,424.0102505,19500,3904430461,201.75,44.49,6.592545738,1.336211327,-0.175110564,-0.015799428,0.016739486,0.78,32401.15,28,3.459666667,0.453134954
56165.1729,536.040337,3.9798,25.91666667,0.606662396,416.1013116,19500,3904430461,187.5,66.37,6.546903207,1.288244767,-0.175110564,0.008047775,0.014128606,0.78,308,28,3.459666667,0.453134954
56165.1729,498.4423676,4.28,25.91666667,0.611604283,322.4299065,19500,3904430461,205,62.58,6.374831341,1.54589372,-0.175110564,0.072721443,0.008113025,0.78,397.188,28,3.459666667,0.453134954
56165.1729,479.6873149,4.2215,25.91666667,0.617369818,261.5184176,19500,3904430461,217.75,74.42,6.261256043,1.83423913,-0.175110564,-0.013762494,0.009382748,0.78,397.188,28,3.459666667,0.453134954
56165.1729,588.6814667,3.7857,25.91666667,0.581312346,442.2960087,19500,3904430461,196.25,46.63,6.665510719,1.330967169,-0.175110564,-0.010118485,0.013791136,0.78,21334.538,28,3.459666667,0.453134954
56165.1729,564.7261635,3.8451,25.91666667,0.587901528,454.6045616,19500,3904430461,198.38,48.17,6.596727732,1.242236025,-0.175110564,0.0155688,0.011271253,0.78,21334.538,28,3.459666667,0.453134954
56165.1729,561.9412516,3.915,25.91666667,0.595771941,446.4878672,19500,3904430461,142.63,58.11,6.731762091,1.258581236,-0.175110564,0.018015719,0.01329848,0.78,135,28,3.459666667,0.453134954
56165.1729,553.3845853,3.9153,25.91666667,0.600988377,446.4536562,19500,3904430461,181,60.66,6.613076135,1.239511823,-0.175110564,7.66E-05,0.008717651,0.78,3300,28,3.459666667,0.453134954
56165.1729,545.7406843,3.9396,25.91666667,0.597236204,432.0235557,19500,3904430461,186.25,57.97,6.577837379,1.263219741,-0.175110564,0.00618724,-0.006262909,0.78,32401.15,28,3.459666667,0.453134954
56165.1729,540.3716744,3.9479,25.91666667,0.598151368,419.4635122,19500,3904430461,187.3,61.38,6.559820266,1.288244767,-0.175110564,0.002104597,0.001531159,0.78,4220.093,28,3.459666667,0.453134954
60403.02757,469.5269324,4.3306,22.25,0.646655075,297.4183716,20112,4504457460,223.5,64.42,6.198592322,1.578674948,-0.253569841,-0.060350203,0.012675524,0.76,4961.08,35,4.046916667,0.584457532
60403.02757,484.0232649,4.2009,22.25,0.657087947,315.3609941,20112,4504457460,207.88,67.18,6.314070266,1.534822866,-0.253569841,-0.030407312,0.016004834,0.76,8800,35,4.046916667,0.584457532
60403.02757,429.9508963,4.2563,22.25,0.63448339,259.3802129,20112,4504457460,233.75,74.26,5.97229279,1.657608696,-0.253569841,0.008209723,0.027342883,0.76,677.025,35,4.046916667,0.584457532
60403.02757,413.0434783,4.6,22.25,0.638510113,265,20112,4504457460,191.88,68.75,6.09205444,1.558654635,-0.253569841,0.077656065,0.006326405,0.76,4961.08,35,4.046916667,0.584457532
60403.02757,389.4541079,4.5705,22.25,0.683444678,271.7426977,20112,4504457460,280,73.88,5.388673403,1.433172303,-0.253569841,0.047402876,0.009147225,0.76,2139.55,35,4.046916667,0.584457532
60403.02757,402.3341718,4.5094,22.25,0.690399927,306.0274094,20112,4504457460,214.63,73.29,5.928021445,1.314699793,-0.253569841,-0.013458501,0.01012532,0.76,2139.55,35,4.046916667,0.584457532
60403.02757,492.2874959,4.2658,22.25,0.661846802,323.5032116,20112,4504457460,178.75,68.16,6.441068681,1.52173913,-0.253569841,0.015330949,0.00721624,0.76,11906.437,35,4.046916667,0.584457532
60403.02757,480.0042083,4.3452,22.25,0.667886886,330.8248182,20112,4504457460,191,64.96,6.359591423,1.450931677,-0.253569841,0.018442051,0.009084715,0.76,42813.71101,35,4.046916667,0.584457532
60403.02757,493.1764416,4.3257,22.25,0.672188158,340.2917447,20112,4504457460,181,65.75,6.436718292,1.449275362,-0.253569841,-0.004497811,0.006419472,0.76,13397.105,35,4.046916667,0.584457532
60403.02757,473.5062007,4.435,22.25,0.670906928,331.9052988,20112,4504457460,192.63,67,6.331064355,1.426630435,-0.253569841,0.024953639,-0.001907877,0.76,13397.105,35,4.046916667,0.584457532
60403.02757,444.7384026,4.3846,22.25,0.670906928,335.7204762,20112,4504457460,219,70.17,6.112528905,1.324728261,-0.253569841,-0.011429214,0,0.76,8800,35,4.046916667,0.584457532
60403.02757,430.1543968,4.3589,22.25,0.677221561,289.6198582,20112,4504457460,252.5,69.77,5.872995173,1.485237923,-0.253569841,-0.00587867,0.009368068,0.76,6088.25,35,4.046916667,0.584457532
67277.02764,394.8832036,4.495,17.66666667,0.700192184,307.0077864,22589,4146059221,219.63,84.82,5.859387126,1.286231884,-0.138242349,-0.003198439,0.014083813,0.57,13397.105,26,4.90725,0.26020038
67277.02764,397.9820628,4.46,17.66666667,0.701747964,336.1506726,22589,4146059221,232.5,71.03,5.802019117,1.18393951,-0.138242349,-0.007816902,0.002219467,0.57,13397.105,26,4.90725,0.26020038
67277.02764,381.2366738,4.69,17.66666667,0.71337055,322.5688699,22589,4146059221,221.88,76.51,5.764301946,1.181876831,-0.138242349,0.049723435,0.005660635,0.57,24376.381,26,4.90725,0.26020038
67277.02764,370.5993703,4.7785,17.66666667,0.717854855,343.6450769,22589,4146059221,224,78.34,5.680862307,1.078436431,-0.138242349,0.018694107,0.006266406,0.57,12464.542,26,4.90725,0.26020038
67277.02764,395.1176545,4.415,17.66666667,0.704584973,342.6609287,22589,4146059221,232.5,71.46,5.784558401,1.153086394,-0.138242349,-0.010140932,0.004034625,0.57,13397.105,26,4.90725,0.26020038
67277.02764,402.8633676,4.4625,17.66666667,0.709343827,339.0135574,22589,4146059221,230.63,73.52,5.842005953,1.18833999,-0.138242349,0.010701313,0.006731417,0.57,13397.105,26,4.90725,0.26020038
67277.02764,387.3100454,4.7292,17.66666667,0.722064611,319.039161,22589,4146059221,260,81.71,5.539788018,1.213989042,-0.138242349,-0.016109082,0.002156951,0.57,12464.542,26,4.90725,0.26020038
67277.02764,381.1208212,4.806,17.66666667,0.720508831,348.397836,22589,4146059221,252.5,77.5,5.550030997,1.093924192,-0.138242349,0.005738448,0.003690276,0.57,4850,26,4.90725,0.26020038
67277.02764,381.2175587,4.8485,17.66666667,0.724718587,252.3667114,22589,4146059221,270,89.57,5.404655662,1.510569903,-0.138242349,-0.025755992,0.002655372,0.57,4850,26,4.90725,0.26020038
67277.02764,371.5242881,4.975,17.66666667,0.722796742,293.2534673,22589,4146059221,267.5,89.17,5.337794694,1.266905014,-0.138242349,0.050669316,0.001013428,0.57,4850,26,4.90725,0.26020038
