"","cy","Dates","Year","GDP","NationalPrice","Month","ExchangeRate","Country","RealInterest","CPI","MaizePrice","Manufacturing","Importing","Blending","Wholesaling","Retailing","Election0","Election1","WorldPrice","Wedge","UreaMaizeRatio","LagMaize","CorruptionEstimate"
"97","Ghana 2018",2018-12-01,"2018",67277.027642,369.782480893592,12,4.86,"Ghana",0,0.730392605472682,273.662551440329,0,3,3,3,100,"0","0",276.67,93.112480893592,1.35123523093448,205.951738338969,-0.138242349028587
"98","Ghana 2018",2018-02-01,"2018",67277.027642,397.982062780269,2,4.46,"Ghana",0,0.701747963759495,365.381165919283,0,3,3,3,100,"0","0",232.5,165.482062780269,1.08922434953363,160.689170182841,-0.138242349028587
"99","Ghana 2018",2018-06-01,"2018",67277.027642,370.599370285464,6,4.7785,"Ghana",0,0.717854854946463,373.527257507586,0,3,3,3,100,"0","0",224,146.599370285464,0.992161516560643,284.033613445378,-0.138242349028587
"100","Ghana 2018",2018-04-01,"2018",67277.027642,402.86336756925,4,4.4625,"Ghana",0,0.709343827216986,368.49299719888,0,3,3,3,100,"0","0",230.63,172.23336756925,1.09327279115652,296.824735215436,-0.138242349028587
"101","Ghana 2018",2018-07-01,"2018",67277.027642,381.120821195728,7,4.806,"Ghana",0,0.720508831335225,378.693300041615,0,3,3,3,100,"0","0",252.5,128.620821195728,1.00641025641026,295.181820140721,-0.138242349028587
"102","Ghana 2018",2018-09-01,"2018",67277.027642,371.524288107203,9,4.975,"Ghana",0,0.722796742015192,318.753768844221,0,3,3,3,100,"0","0",267.5,104.024288107203,1.16555261277168,131.670103092784,-0.138242349028587
"103","Ghana 2018",2018-11-01,"2018",67277.027642,362.933064244871,11,4.955,"Ghana",0,0.726548915530338,268.577194752775,0,3,3,3,100,"0","0",305.6,57.3330642448705,1.35131750325619,153.570535788684,-0.138242349028587
"104","Ghana 2019",2019-03-01,"2019",68353.477449,393.62425891729,3,5.1445,"Ghana",0,0.750526219456393,303.236466128876,0,6,6,6,100,"0","0",247.5,146.12425891729,1.29807692307692,238.178025034771,-0.108893923461437
"105","Ghana 2019",2019-05-01,"2019",68353.477449,382.725382725383,5,5.291,"Ghana",0,0.763430035691407,302.400302400302,0,6,6,6,100,"0","0",247.5,135.225382725383,1.265625,258.317415975557,-0.108893923461437
"106","Ghana 2019",2019-08-01,"2019",68353.477449,366.97247706422,8,5.45,"Ghana",0,0.777615081907202,273.761467889908,0,6,6,6,100,"0","0",262.5,104.47247706422,1.34048257372654,606.145251396648,-0.108893923461437
"107","Ghana 2019",2019-04-01,"2019",68353.477449,390.851187029531,4,5.181,"Ghana",0,0.755193557243525,330.052113491604,0,6,6,6,100,"0","0",247.5,143.351187029531,1.18421052631579,505.702364394993,-0.108893923461437
"108","Ghana 2019",2019-06-01,"2019",68353.477449,370.37037037037,6,5.4,"Ghana",0,0.771758030566487,296.296296296296,0,6,6,6,100,"0","0",247.5,122.87037037037,1.25,234.931247809924,-0.108893923461437
"109","Ghana 2019",2019-12-01,"2019",68353.477449,364.967779730521,12,5.69,"Ghana",0,0.787132790335865,300.720562390158,0,6,6,6,100,"0","0",217.5,147.467779730521,1.21364424444315,768.802228412256,-0.108893923461437
"110","Ghana 2019",2019-09-01,"2019",68353.477449,370.974922095266,9,5.3912,"Ghana",0,0.777249016198408,263.336548449325,0,6,6,6,100,"0","0",237.75,133.224922095266,1.40874832711136,307.772276715378,-0.108893923461437
"111","Ghana 2019",2019-02-01,"2019",68353.477449,362.121212121212,2,5.5,"Ghana",0,0.744577651688478,262.727272727273,0,6,6,6,100,"0","0",250.63,111.491212121212,1.37831603229527,214.734631090269,-0.108893923461437
"112","Ghana 2019",2019-11-01,"2019",68353.477449,372.162485065711,11,5.58,"Ghana",0,0.784936396083097,306.648745519713,0,6,6,6,100,"0","0",224.5,147.662485065711,1.21364424444315,350.344827586207,-0.108893923461437
"113","Ghana 2019",2019-07-01,"2019",68353.477449,372.43947858473,7,5.37,"Ghana",0,0.774412006955249,297.951582867784,0,6,6,6,100,"0","0",263.5,108.93947858473,1.25,178.271681691016,-0.108893923461437
"114","Ghana 2019",2019-01-01,"2019",68353.477449,368.544600938967,1,4.97,"Ghana",0,0.741283060309326,272.977867203219,0,6,6,6,100,"0","0",260,108.544600938967,1.35008967838628,443.983402489627,-0.108893923461437
