"","Year","Dates","cy","GDP","LocalUreaPrice","Month","ExchangeRate","Country","RealInterest","CPI","LocalMaizePrice","ElectionYr","OneYrAfterElectionYr","LocalMaizeYield","ForexRev","WorldUreaPrice","WorldGasPrice","Wedge","UreaMaizeRatio","LagMaize","CorruptionControl","ExchangeRateMovements","CPIMovements","CR4ratioAnnual","MonthlyUreaImportMT","NumFirmsImportingFert","FuelPrice","SharePrivateSectorSalesAnnual"
"58","2015",2015-10-01,"Ghana 2015",50033.911736,586.737400530504,10,3.77,"Ghana",23,0.524023062139654,358.726790450928,"0","0",19218,3754903073.77202,250.63,63.61,6.51058014688889,1.63561076604555,256.535564194279,-0.210319384932518,0.00798939003347865,0.0265455332177007,0.9,110,17,0.773231653404067,0.391834912165152
"59","2015",2015-11-01,"Ghana 2015",50033.911736,587.710227925515,11,3.7717,"Ghana",23,0.529422531344376,378.078850385768,"0","0",19218,3754903073.77202,263.63,57.83,6.47414066306356,1.5544647031323,135.300970873786,-0.210319384932518,0.000450826744313293,0.0102511539697165,0.9,110,17,0.772883138460995,0.391834912165152
"60","2015",2015-12-01,"Ghana 2015",50033.911736,577.42782152231,12,3.81,"Ghana",23,0.535188066257893,392.38845144357,"0","0",19218,3754903073.77202,264,53.71,6.44071882460261,1.47157190635452,143.944383461398,-0.210319384932518,0.010103360934377,0.0108313618018374,0.9,2200,17,0.765113735783027,0.391834912165152
"61","2015",2015-04-01,"Ghana 2015",50033.911736,534.327651515152,4,3.84,"Ghana",23,0.489704401940148,336.614583333333,"0","0",19218,3754903073.77202,260,70.94,6.30747370298072,1.58735740508911,214.674371194135,-0.210319384932518,0.0263867551731949,0.0181034550002531,0.9,1121.75,17,0.759136284722222,0.391834912165152
"62","2015",2015-03-01,"Ghana 2015",50033.911736,539.620807000486,3,3.74,"Ghana",23,0.480918824929075,319.786096256684,"0","0",19218,3754903073.77202,295.5,82.16,6.19081458894266,1.68744299179082,178.298850574713,-0.210319384932518,0.0663226429310726,0.0103290895379791,0.9,840,17,0.779434046345811,0.391834912165152
"63","2015",2015-06-01,"Ghana 2015",50033.911736,482.708635328225,6,4.39,"Ghana",23,0.503340349592752,345.785876993166,"0","0",19218,3754903073.77202,288.75,71.55,5.96079874227465,1.39597556593604,202.6,-0.210319384932518,0.0905379857686022,0.0176086721404728,0.9,840,17,0.664028094153379,0.391834912165152
"64","2015",2015-05-01,"Ghana 2015",50033.911736,520.063477669463,5,4.01,"Ghana",23,0.494554772581678,334.962593516209,"0","0",19218,3754903073.77202,265,72.57,6.23466346951661,1.55260165683036,181.919385275391,-0.210319384932518,0.0433188747188422,0.00985596076878481,0.9,32401.15,17,0.726953449709061,0.391834912165152
"65","2015",2015-08-01,"Ghana 2015",50033.911736,539.110747469766,8,4.0555,"Ghana",23,0.511027729477441,450.075206509678,"0","0",19218,3754903073.77202,274.63,70.37,6.27091921477391,1.19782369628968,125.546765937645,-0.210319384932518,0.0863503162432071,-0.00749334460759377,0.9,110,17,0.718797517774216,0.391834912165152
"66","2015",2015-07-01,"Ghana 2015",50033.911736,578.690127077224,7,3.72,"Ghana",23,0.514871419419786,457.52688172043,"0","0",19218,3754903073.77202,283.75,72.62,6.37992243113231,1.26482213438735,224.446676693461,-0.210319384932518,-0.165605558802025,0.0226506178292399,0.9,110,17,0.783624551971326,0.391834912165152
"67","2016",2016-01-01,"Ghana 2016",56165.172896,555.555555555556,1,3.96,"Ghana",25.9166666666667,0.559805985174339,394.949494949495,"0","1",19500,3904430461.43612,233.88,54.22,6.46669304273044,1.40664961636829,185.531367756238,-0.175110563635826,0.0386148361277796,0.0449720578129507,0.78,32401.15,28,0.873653198653199,0.453134953537232
