Date,Open,High,Low,Close,Adj Close,Volume
2017/4/1,9.6397,9.65,9.2371,9.3154,9.3154,0
2017/3/1,9.463,9.8,9.4033,9.5973,9.5973,0
2017/2/1,9.862,9.915,9.429,9.45,9.45,0
2017/1/1,9.9112,10.165,9.7186,9.8166,9.8166,0
2016/12/1,9.8814,9.9779,9.7029,9.7585,9.7585,0
2016/11/1,9.549,9.9908,9.549,9.8345,9.8345,0
2016/10/1,9.8953,10.019,9.5668,9.6906,9.6906,0
2016/9/1,9.4323,10.239,9.4323,9.7667,9.7667,0
2016/8/1,10.162,10.465,9.4482,9.5017,9.5017,0
2016/7/1,9.9887,10.594,9.2473,10.157,10.157,0
2016/6/1,10.381,11.012,9.9493,10.472,10.472,0
2016/5/1,9.4745,10.37,9.4745,10.37,10.37,0
2016/4/1,10.995,10.995,9.0994,9.4876,9.4876,0
2016/3/1,11.344,11.359,10.993,11.194,11.194,0
2016/2/1,11.294,11.427,11.052,11.421,11.421,0
2016/1/1,10.988,11.25,10.903,11.189,11.189,0
2015/12/1,10.32,10.973,10.09,10.932,10.932,0
2015/11/1,12.533,14.223,10.308,10.3,10.3,0
2015/10/1,12.173,12.599,11.481,12.524,12.524,0
2015/9/1,8.6945,12.357,8.6945,12.357,12.357,0
2015/8/1,7.6067,8.707,7.6067,8.596,8.596,0
2015/7/1,7.4978,7.9013,7.4629,7.5979,7.5979,0
2015/6/1,7.2246,7.4814,7.0688,7.4494,7.4494,0
2015/5/1,7.4039,7.4184,7.0467,7.2082,7.2082,0
2015/4/1,7.5821,7.5821,7.1357,7.3659,7.3659,0
2015/3/1,6.889,7.7401,6.8396,7.5382,7.5382,0
2015/2/1,6.4567,7.016,6.4477,6.9282,6.9282,0
2015/1/1,6.3888,6.5521,6.319,6.4623,6.4623,0
2014/12/1,6.2888,6.3604,6.209,6.3604,6.3604,0
2014/11/1,6.299,6.3762,6.2479,6.2924,6.2924,0
2014/10/1,6.2028,6.4345,6.1853,6.3552,6.3552,0
2014/9/1,5.9888,6.2425,5.9888,6.2333,6.2333,0
2014/8/1,6.0976,6.1564,5.9574,5.9868,5.9868,0
2014/7/1,6.2192,6.2373,6.0322,6.1281,6.1281,0
2014/6/1,6.855,6.855,6.0225,6.1627,6.1627,0
2014/5/1,6.2507,6.9835,6.2433,6.8139,6.8139,0
2014/4/1,6.0694,6.3156,6.0445,6.2921,6.2921,0
2014/3/1,5.7806,6.4213,5.7806,6.215,6.215,0
2014/2/1,5.5632,5.7823,5.5327,5.7742,5.7742,0
2014/1/1,5.4781,5.5653,5.4531,5.5214,5.5214,0
2013/12/1,5.5,5.5683,5.3485,5.4669,5.4669,0
2013/11/1,5.4378,5.5447,5.4259,5.5,5.5,0
2013/10/1,5.2933,5.4453,5.2283,5.4453,5.4453,0
2013/9/1,5.3368,5.3432,5.2062,5.2761,5.2761,0
2013/8/1,5.4306,5.4376,5.332,5.3397,5.3397,0
2013/7/1,5.4645,5.4902,5.4089,5.4503,5.4503,0
2013/6/1,5.3101,5.4659,5.3013,5.4658,5.4658,0
2013/5/1,5.2381,5.3305,5.232,5.2639,5.2639,0
2013/4/1,5.3415,5.3717,5.2227,5.2953,5.2953,0
2013/3/1,5.2717,5.3682,5.2685,5.3415,5.3415,0
2013/2/1,5.3044,5.3164,5.2207,5.274,5.274,0
2013/1/1,5.34,5.2,5.52,5.09,,
2012/12/1,5.18,5.22,5.3,4.93,,
2012/11/1,5.2,5.29,5.29,5.11,,
2012/10/1,5.28,5.1,5.32,5.03,,
2012/9/1,5.1,4.95,5.12,4.94,,
2012/8/1,5,4.96,5.01,4.83,,
2012/7/1,4.93,5.16,5.17,4.65,,
2012/6/1,5.15,5.32,5.36,5.12,,
2012/5/1,5.35,5.24,5.36,5.09,,
2012/4/1,5.25,5.28,5.33,5.13,,
2012/3/1,5.28,5.25,5.34,5.21,,
2012/2/1,5.25,5.12,5.35,5.11,,
2012/1/1,5.13,5.12,5.18,5.06,,
2011/12/1,5.12,5.08,5.17,5.03,,
2011/11/1,5.08,4.92,5.13,4.91,,
2011/10/1,4.91,4.79,5.08,4.79,,
2011/9/1,4.83,4.97,5.16,4.74,,
2011/8/1,4.97,4.8,5.03,4.73,,
2011/7/1,4.8,4.83,4.88,4.74,,
2011/6/1,4.83,4.74,4.88,4.72,,
2011/5/1,4.74,4.71,4.8,4.67,,
